aid,street_address,postal_code,municipality,population,is capital area,building,description,rent,size,build_year,tax value,euromääräinen erotus,suhteellinen erotus,rental_service,url
484619,Saukonpaadenranta 4,00180,Helsinki,,1,kerrostalo,2h+k+s+parveke,1435.14,58,2012,670.6,-764.54,46.73%,Suomen Vuokrakodit Oy,/vuokra-asunto/helsinki/jatkasaari/kerrostalo/kaksio/484619?entryPoint=fromSearch&rentalIndex=433
472575,Läntinen Pitkäkatu 19 as,20100,Turku,,0,erillistalo,okt 3-4h+k+piha+2xwc+kph,1400,98.5,1902,656.6,-743.4,46.90%,Turun Seudun OP-Kiinteistökeskus Vuokravälitys,/vuokra-asunto/turku/keskusta/erillistalo/kolmio/472575?entryPoint=fromSearch&rentalIndex=4797
967595,Tunturikatu 16,00100,Helsinki,,1,kerrostalo,2h+k,1395,47,1928,655.1,-739.9,46.96%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/kaksio/967595?entryPoint=fromSearch&rentalIndex=3349
481737,Kap Hornin katu 8 B,00220,Helsinki,,1,kerrostalo,3h+avok+lasitettu parveke,1566,65.5,2013,735.85,-830.15,46.99%,Ovenia (co. Keskinäinen Eläkevakuutusyhtiö Ilmarinen),/vuokra-asunto/helsinki/jatkasaari/kerrostalo/kolmio/481737?entryPoint=fromSearch&rentalIndex=2268
418656,Tuulikuja 4,02100,Espoo,,1,kerrostalo,2h+kk+s+ap,1316,52,2006,618.4,-697.6,46.99%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/418656?entryPoint=fromSearch&rentalIndex=4674
475903,Linnankatu 5 A 3,20100,Turku,,0,kerrostalo,2h+kk+p,700,40,1957,329,-371,47.00%,,/vuokra-asunto/turku/kauppatori/kerrostalo/kaksio/475903?entryPoint=fromSearch&rentalIndex=4167
464958,Väinämöisenkatu 17 A,00100,Helsinki,,1,kerrostalo,4H+K+KHH+HALLI+3KPH+S+P,4500,189,1923,2117.7,-2382.3,47.06%,Smartmove Oy,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/4h/464958?entryPoint=fromSearch&rentalIndex=5556
326537,Hallituskatu 7,33200,Tampere,,0,kerrostalo,3H+K,1210,83,1957,569.8,-640.2,47.09%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/keskusta/kerrostalo/kolmio/326537?entryPoint=fromSearch&rentalIndex=1381
481165,Vuorikatu 34 A,70100,Kuopio,,0,kerrostalo,1h+kk+lasitettu p,550,27.5,1976,259,-291,47.09%,OVV Asuntopalvelut Kuopio,/vuokra-asunto/kuopio/keskusta/kerrostalo/yksio/481165?entryPoint=fromSearch&rentalIndex=2502
476300,Köydenpunojankatu 8,00180,Helsinki,,1,kerrostalo,2hh+kk+kh+parveke,1050,42.5,1982,494.75,-555.25,47.12%,,/vuokra-asunto/helsinki/hietalahti/kerrostalo/kaksio/476300?entryPoint=fromSearch&rentalIndex=4086
472922,Arielinkatu 10,00540,Helsinki,,1,kerrostalo,3h + kk + kph + s,1800,78.5,2013,848.95,-951.05,47.16%,,/vuokra-asunto/helsinki/kalasatama/kerrostalo/kolmio/472922?entryPoint=fromSearch&rentalIndex=4778
479440,Mustanlahdenkatu 24 C,33210,Tampere,,0,kerrostalo,"2h,kk",650,36,1937,306.6,-343.4,47.17%,Kiinteistövälitys Rooma Oy LKV,/vuokra-asunto/tampere/keskusta/kerrostalo/kaksio/479440?entryPoint=fromSearch&rentalIndex=3134
482675,Punavuorenkatu 23 G,00150,Helsinki,,1,kerrostalo,"3h,k",1500,69.5,1974,708.05,-791.95,47.20%,"Helsingin OPKK, Malmi",/vuokra-asunto/helsinki/punavuori/kerrostalo/kolmio/482675?entryPoint=fromSearch&rentalIndex=1830
478794,Katariina Saksilaisen katu 10,00560,Helsinki,,1,kerrostalo,2h+kk+s,1153,43.5,2007,544.45,-608.55,47.22%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/viikinranta/kerrostalo/kaksio/478794?entryPoint=fromSearch&rentalIndex=3401
970329,Kalevankatu 32,00100,Helsinki,,1,kerrostalo,2h+kk+s,1200,38.5,1916,567.55,-632.45,47.30%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/kamppi/kerrostalo/kaksio/970329?entryPoint=fromSearch&rentalIndex=2863
482838,Lönnrotinkatu 22 A,00120,Helsinki,,1,kerrostalo,"2 h, avokeittiö, sauna / kph",1250,41,1891,593.3,-656.7,47.46%,"Etelä-Helsingin Habita Oy, Töölö",/vuokra-asunto/helsinki/kamppi/kerrostalo/kaksio/482838?entryPoint=fromSearch&rentalIndex=1742
478824,Kalevankatu 29 A,00100,Helsinki,,1,kerrostalo,"Unfurnished 3r, k, balcony",1500,70,1963,712,-788,47.47%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/kamppi/kerrostalo/kolmio/478824?entryPoint=fromSearch&rentalIndex=3337
484615,Saukonpaadenranta 4,00180,Helsinki,,1,kerrostalo,2h+k+s+parveke,1310.7,52.5,2012,622.75,-687.95,47.51%,Suomen Vuokrakodit Oy,/vuokra-asunto/helsinki/jatkasaari/kerrostalo/kaksio/484615?entryPoint=fromSearch&rentalIndex=435
468837,Tähtitorninkatu 8 D,00140,Helsinki,,1,kerrostalo,2h + avokeittiö,1790,66,1927,850.8,-939.2,47.53%,,/vuokra-asunto/helsinki/ullanlinna/kerrostalo/kaksio/468837?entryPoint=fromSearch&rentalIndex=5254
970009,Saunakatu 4,10600,Raasepori,,0,erillistalo,"2h,k,kph,entré",750,45,1930,357,-393,47.60%,"Raaseporin Kiinteistökeskus RFC Oy LKV, Tammisaari",/vuokra-asunto/raasepori/erillistalo/kaksio/970009?entryPoint=fromSearch&rentalIndex=6565
473134,Välskärinkatu 4,00260,Helsinki,,1,kerrostalo,1h+kk,1134,43,2000,540.1,-593.9,47.63%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/taka-toolo/kerrostalo/yksio/473134?entryPoint=fromSearch&rentalIndex=3079
424702,Tuomiokirkonkatu 32,33100,Tampere,,0,kerrostalo,3H+K,961,63,1955,457.8,-503.2,47.64%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/keskusta/kerrostalo/kolmio/424702?entryPoint=fromSearch&rentalIndex=1382
467624,Pisteenkaari 13 B,03100,Vihti,,0,kerrostalo,2h+kk+parveke,980,46,2013,467.2,-512.8,47.67%,,/vuokra-asunto/vihti/nummela/kerrostalo/kaksio/467624?entryPoint=fromSearch&rentalIndex=5350
